,Feature Selection + Decomposition_Positive,Feature Selection + Decomposition_Negative
XGBoost + Ramdom Forest,80.65,76.6
XGBoost + LightGBM,82.14,76.6
XGBoost + Keras,80.95,73.4
Random Forest + LightGBM,82.74,75.53
Random Forest + Keras,76.19,68.09
LightGBM+Keras,83.63,75.53
XGBoost + Random Forest + LightGBM,82.44,76.6
XGBoost + Random Forest + Keras,81.25,72.34
XGBoost + LightGBM + Keras,85.71,75.53
Random Forest + LightGBM + Keras,82.14,74.47
XGBoost + Random Forest + LightGBM + Keras,85.12,75.53
