,Feature_Selection_Positive,Feature Selection + Decomposition_Positive
Keras,68.75,75.89
LightGBM,83.63,83.63
Random Forest,79.17,80.95
XGBoost,83.04,83.93
XGBoost + Ramdom Forest,79.17,83.63
XGBoost + LightGBM,83.04,83.93
XGBoost + Keras,76.49,82.14
Random Forest + LightGBM,83.04,83.93
Random Forest + Keras,76.49,81.25
LightGBM+Keras,82.14,84.52
XGBoost + Random Forest + LightGBM,82.74,84.23
XGBoost + Random Forest + Keras,79.76,83.63
XGBoost + LightGBM + Keras,83.04,86.61
Random Forest + LightGBM + Keras,83.04,85.71
XGBoost + Random Forest + LightGBM + Keras,83.04,84.82
